EAR,MAR,PERCLOS,BLINKS,YAWNS,Pitch,label
0.253,0.227,0.166,3,0,0.991,0
0.256,0.224,0.166,3,0,0.988,0
0.262,0.219,0.166,3,0,0.991,0
0.254,0.239,0.166,3,0,0.993,0
0.25,0.239,0.165,3,0,0.991,0
0.254,0.236,0.165,3,0,0.991,0
0.251,0.232,0.165,3,0,0.991,0
0.256,0.221,0.164,3,0,0.99,0
0.241,0.224,0.164,3,0,0.99,0
0.254,0.239,0.164,3,0,0.991,0
0.256,0.226,0.163,3,0,0.993,0
0.241,0.216,0.163,3,0,0.992,0
0.266,0.225,0.163,3,0,0.991,0
0.269,0.221,0.162,3,0,0.991,0
0.253,0.226,0.162,3,0,0.992,0
0.253,0.222,0.162,3,0,0.992,0
0.263,0.228,0.161,3,0,0.991,0
0.252,0.231,0.161,3,0,0.994,0
0.239,0.226,0.161,3,0,0.988,0
0.26,0.209,0.16,3,0,0.993,0
0.253,0.219,0.16,3,0,0.99,0
0.234,0.239,0.16,3,0,0.989,0
0.252,0.238,0.159,3,0,0.992,0
0.265,0.222,0.159,3,0,0.99,0
0.247,0.228,0.159,3,0,0.99,0
0.25,0.229,0.159,3,0,0.992,0
0.236,0.219,0.158,3,0,0.992,0
0.242,0.219,0.158,3,0,0.989,0
0.239,0.212,0.157,3,0,0.992,0
0.262,0.215,0.157,3,0,0.992,0
0.239,0.213,0.157,3,0,0.99,0
0.244,0.221,0.157,3,0,0.991,0
0.23,0.222,0.156,3,0,0.995,0
0.235,0.215,0.156,3,0,0.992,0
0.237,0.225,0.156,3,0,0.99,0
0.217,0.223,0.155,3,0,0.99,0
0.216,0.212,0.155,3,0,0.992,0
0.22,0.216,0.155,3,0,0.988,0
0.218,0.213,0.155,3,0,0.004,0
0.216,0.228,0.154,3,0,0.991,0
0.229,0.219,0.154,3,0,0.991,0
0.212,0.216,0.154,3,0,0.993,0
0.231,0.228,0.154,3,0,0.008,0
0.214,0.219,0.153,3,0,0.991,0
0.218,0.229,0.153,3,0,0.99,0
0.233,0.238,0.153,3,0,0.99,0
0.221,0.222,0.152,3,0,0.992,0
0.229,0.216,0.152,3,0,0.993,0
0.209,0.222,0.152,3,0,0.991,0
0.231,0.228,0.152,3,0,0.992,0
0.225,0.219,0.151,3,0,0.993,0
0.219,0.216,0.151,3,0,0.993,0
0.222,0.23,0.151,3,0,0.995,0
0.222,0.222,0.15,3,0,0.993,0
0.228,0.225,0.15,3,0,0.992,0
0.231,0.222,0.15,3,0,0.993,0
0.22,0.231,0.15,3,0,0.994,0
0.227,0.216,0.149,3,0,0.991,0
0.22,0.231,0.149,3,0,0.993,0
0.214,0.221,0.149,3,0,0.992,0
0.227,0.219,0.148,3,0,0.993,0
0.204,0.227,0.148,3,0,0.987,0
0.222,0.216,0.148,3,0,0.986,0
0.222,0.217,0.148,3,0,0.986,0
0.225,0.213,0.147,3,0,0.985,0
0.223,0.213,0.147,3,0,0.985,0
0.222,0.235,0.147,3,0,0.984,0
0.212,0.227,0.147,3,0,0.982,0
0.221,0.209,0.146,3,0,0.988,0
0.236,0.216,0.146,3,0,0.989,0
0.231,0.23,0.146,3,0,0.985,0
0.229,0.225,0.145,3,0,0.989,0
0.216,0.235,0.145,3,0,0.989,0
0.196,0.222,0.145,3,0,0.99,0
0.213,0.232,0.145,3,0,0.987,0
0.173,0.225,0.144,4,0,0.987,0
0.174,0.236,0.145,4,0,0.986,0
0.2,0.227,0.147,4,0,0.0,0
0.211,0.218,0.147,4,0,0.987,0
0.231,0.241,0.147,4,0,0.986,0
0.222,0.222,0.147,4,0,0.988,0
0.23,0.209,0.146,4,0,0.989,0
0.247,0.209,0.146,4,0,0.989,0
0.235,0.222,0.146,4,0,0.99,0
0.247,0.229,0.145,4,0,0.991,0
0.235,0.225,0.145,4,0,0.992,0
0.245,0.219,0.145,4,0,0.989,0
0.252,0.223,0.145,4,0,0.992,0
0.263,0.21,0.145,4,0,0.991,0
0.257,0.217,0.144,4,0,0.99,0
0.256,0.226,0.144,4,0,0.987,0
0.251,0.216,0.144,4,0,0.99,0
0.251,0.217,0.144,4,0,0.989,0
0.239,0.225,0.143,4,0,0.988,0
0.235,0.222,0.143,4,0,0.989,0
0.249,0.21,0.143,4,0,0.988,0
0.239,0.225,0.142,4,0,0.989,0
0.24,0.219,0.142,4,0,0.989,0
0.236,0.225,0.142,4,0,0.988,0
0.232,0.225,0.142,4,0,0.99,0
0.261,0.22,0.141,4,0,0.988,0
0.258,0.21,0.141,4,0,0.989,0
0.247,0.228,0.141,4,0,0.993,0
0.254,0.222,0.141,4,0,0.993,0
0.25,0.216,0.141,4,0,0.993,0
0.263,0.219,0.141,4,0,0.992,0
0.249,0.229,0.14,4,0,0.992,0
0.264,0.222,0.14,4,0,0.989,0
0.264,0.22,0.14,4,0,0.991,0
0.246,0.216,0.139,4,0,0.994,0
0.246,0.225,0.139,4,0,0.993,0
0.255,0.216,0.139,4,0,0.989,0
0.263,0.225,0.139,4,0,0.992,0
0.239,0.216,0.139,4,0,0.992,0
0.233,0.231,0.138,4,0,0.991,0
0.262,0.224,0.138,4,0,0.993,0
0.266,0.219,0.138,4,0,0.992,0
0.226,0.231,0.138,4,0,0.989,0
0.246,0.238,0.137,4,0,0.993,0
0.231,0.234,0.137,4,0,0.992,0
0.254,0.219,0.137,4,0,0.991,0
0.26,0.222,0.137,4,0,0.991,0
0.245,0.223,0.136,4,0,0.995,0
0.246,0.21,0.136,4,0,0.005,0
0.244,0.203,0.136,4,0,0.007,0
0.224,0.224,0.136,4,0,0.996,0
0.22,0.222,0.136,4,0,0.996,0
0.235,0.209,0.135,4,0,0.011,0
0.223,0.216,0.135,4,0,0.011,0
0.219,0.219,0.135,4,0,0.013,0
0.228,0.215,0.135,4,0,0.013,0
0.245,0.213,0.135,4,0,0.013,0
0.241,0.222,0.134,4,0,0.003,0
0.23,0.219,0.134,4,0,0.0,0
0.245,0.219,0.134,4,0,0.013,0
0.24,0.213,0.134,4,0,0.006,0
0.242,0.218,0.133,4,0,0.009,0
0.242,0.218,0.133,4,0,0.008,0
0.268,0.235,0.133,4,0,0.016,0
0.254,0.235,0.133,4,0,0.012,0
